所属省份,区划名称,面积/平方公里,常住人口/万人（2010）,人口密度/人/平方公里,GDP/亿元,GDP年份,人均GDP/万元,省级序列,城市分级,流动人口/万人（2018）,流动人口/万人（2017）,铁路干线1-特等站,铁路干线2-五纵三横,民航年流量/万人（2018）前五十,民航年流量/万人（2018）前一百,经度,纬度,Suo Shu Sheng Fen ,Qu Hua Ming Cheng
陕西,铜川,"3,889.59",83,214.53,283,2012,3.39,,,,,,,,,109.0572815,35.07545853,Shan Xi ,Tong Chuan 
新疆,哈密,"142,094.88",55,3.84,275,2012,5.03,,,,,,,,,93.51316,42.833248,Xin Jiang ,Ha Mi 
黑龙江,伊春,"32,759.66",115,35.05,260,2012,2.26,,,,,,,,,128.9043121,47.72364426,Hei Long Jiang ,Yi Chun 
甘肃,嘉峪关,"1,350.94",21,151.97,252,2012,12.27,2,,,,,,,,98.27471161,39.80265427,Gan Su ,Jia Yu Guan 
新疆,吐鲁番,"67,562.91",60,8.89,245,2012,4.07,,,,,,,,,89.184078,42.947613,Xin Jiang ,Tu Lu Fan
甘肃,金昌,"7,568.84",47,62.12,243,2012,5.17,,,,,,,,,102.1657486,38.49519348,Gan Su ,Jin Chang 
云南,西双版纳,"19,107.05",106,55.71,233,2012,2.19,,,,,,,444.6,444.6,100.797941,22.001724,Yun Nan,Xi Shuang Ban Na 
甘肃,陇南,"27,856.69",261,93.85,223,2012,0.85,,,,,,,,,104.92928,33.39484,Gan Su ,Long Nan
西藏,日喀则,"18,200.00",85,46.45,216,2017,2.56,2,,,,,,,,88.884874,29.263792,Xi Zang,Ri Ka Ze 
甘肃,定西,"19,646.14",293,149.18,215,2012,0.73,,,,,,,,,104.6185684,35.57523727,Gan Su ,Ding Xi 
云南,丽江,"20,557.25",122,59.15,212,2012,1.74,,,,,,,753,753,100.2342529,26.87666512,Yun Nan,Li Jiang 
新疆,石河子,459.94,64,1382.98,209,2012,3.29,,,,,,,,,86.041075,44.305886,Xin Jiang ,Shi He Zi 
四川,阿坝,"84,241.76",87,10.37,204,2012,2.33,,,,,,,,,102.221374,31.899792,Si Chuan ,A Ba 
云南,德宏,"11,171.41",118,105.38,202,2012,1.71,,,,,,,,181.4,98.578363,24.436694,Yun Nan,De Hong 
西藏,昌都,"110,000.00",73,6.64,194,2018,2.65,,,,,,,,,97.178452,31.136875,Xi Zang,Chang Du
新疆,博尔塔拉,"24,934.33",47,18.97,183,2012,3.87,,,,,,,,,82.074778,44.903258,Xin Jiang ,Bo Er Ta La 
新疆,阿勒泰,"117,699.01",65,5.48,180,2012,2.79,,,,,,,,,88.13963,47.848393,Xin Jiang ,A Le Tai 
四川,甘孜,"147,681.37",97,6.56,175,2012,1.81,,,,,,,,,101.963815,30.050663,Si Chuan ,Gan Zi 
新疆,五家渠,710,7,102.51,165,2012,22.67,,,,,,,,,87.526884,44.167401,Xin Jiang ,Wu Jia Qu 
青海,海南,44500,48,10.7,158,2018,3.32,,,,,,,,,100.901059,36.959435,Qing Hai ,Hai Nan
甘肃,临夏,"8,116.57",194,239.36,149,2012,0.77,,,,,,,,,110.671525,31.744449,Gan Su ,Lin Xia 
黑龙江,大兴安岭,"82,975.05",51,6.17,147,2012,2.87,,,,,,,,,124.711526,52.335262,Hei Long Jiang ,Da Xing An Ling 
